,Pclass,Age,SibSp,Parch,Fare,Cabin,Embarked
741,1,36.0,1,0,78.85,59,2
835,1,39.0,1,1,83.1583,118,0
621,1,42.0,1,0,52.5542,85,2
872,1,33.0,0,0,5.0,29,2
853,1,16.0,0,1,39.4,88,2
193,2,3.0,1,1,26.0,128,2
789,1,46.0,0,0,79.2,38,0
336,1,29.0,1,0,66.6,53,2
515,1,47.0,0,0,34.0208,94,2
571,1,53.0,2,0,51.4792,42,2
645,1,48.0,1,0,76.7292,90,0
331,1,45.5,0,0,28.5,49,2
630,1,80.0,0,0,30.0,3,2
781,1,17.0,1,0,57.0,15,2
867,1,31.0,0,0,50.4958,4,2
486,1,35.0,1,0,90.0,78,2
215,1,31.0,1,0,113.275,92,0
712,1,48.0,1,0,52.0,51,2
889,1,26.0,0,0,30.0,52,0
341,1,24.0,3,2,263.0,55,2
269,1,35.0,0,0,135.6333,79,2
700,1,18.0,1,0,227.525,64,0
492,1,55.0,0,0,30.5,56,2
496,1,54.0,1,0,78.2667,86,0
66,2,29.0,0,0,10.5,129,2
802,1,11.0,1,2,120.0,41,2
765,1,51.0,1,0,77.9583,82,2
307,1,17.0,1,0,108.9,65,0
390,1,36.0,1,2,120.0,41,2
366,1,60.0,1,0,75.25,93,0
3,1,35.0,1,0,53.1,48,2
701,1,35.0,0,0,26.2875,108,2
632,1,32.0,0,0,30.5,28,0
681,1,27.0,0,0,76.7292,97,0
544,1,50.0,1,0,106.425,73,0
452,1,30.0,0,0,27.75,46,0
536,1,45.0,0,0,26.55,21,2
707,1,42.0,0,0,26.2875,108,2
748,1,19.0,1,0,53.1,89,2
473,2,23.0,0,0,13.7917,80,0
627,1,21.0,0,0,77.9583,102,2
137,1,37.0,1,0,53.1,48,2
581,1,39.0,1,1,110.8833,66,0
647,1,56.0,0,0,35.5,5,0
356,1,22.0,0,1,55.0,111,2
730,1,29.0,0,0,211.3375,27,2
796,1,49.0,0,0,25.9292,84,2
779,1,43.0,0,1,211.3375,17,2
